Date,Close,Open,Volume,Num Arrests,Mean.TemperatureF,PrecipitationIn,Events,season,Year,Week,Month
2006-01-03,1268.800049,1248.290039,2554570000,899,38.0,0.98,Rain,Winter,2006,1,1
2006-01-04,1273.459961,1268.800049,2515330000,1229,34.0,T,,Winter,2006,1,1
2006-01-05,1273.47998,1273.459961,2433340000,1383,43.0,0.04,,Winter,2006,1,1
2006-01-06,1285.449951,1273.47998,2446560000,1248,35.0,0.00,,Winter,2006,1,1
2006-01-09,1290.150024,1285.449951,2301490000,896,50.0,0.00,,Winter,2006,2,1
2006-01-10,1289.689941,1290.150024,2373080000,1328,43.0,0.00,,Winter,2006,2,1
2006-01-11,1294.180054,1289.719971,2406130000,1231,44.0,0.14,Fog-Rain,Winter,2006,2,1
2006-01-12,1286.060059,1294.180054,2318350000,1274,47.0,0.00,,Winter,2006,2,1
2006-01-13,1287.609985,1286.060059,2206510000,1263,45.0,0.07,Fog-Rain,Winter,2006,2,1
2006-01-17,1282.930054,1287.609985,2179970000,1134,33.0,0.08,Rain,Winter,2006,3,1
2006-01-18,1277.930054,1282.930054,2233200000,1193,47.0,0.45,Rain,Winter,2006,3,1
2006-01-19,1285.040039,1277.930054,2444020000,1312,39.0,0.00,,Winter,2006,3,1
2006-01-20,1261.48999,1285.040039,2845810000,1088,46.0,0.00,,Winter,2006,3,1
2006-01-23,1263.819946,1261.48999,2256070000,855,40.0,0.73,Rain,Winter,2006,4,1
2006-01-24,1266.859985,1263.819946,2608720000,1284,37.0,0.00,,Winter,2006,4,1
2006-01-25,1264.680054,1266.859985,2617060000,1325,39.0,0.02,Rain,Winter,2006,4,1
2006-01-26,1273.829956,1264.680054,2856780000,1255,31.0,0.00,,Winter,2006,4,1
2006-01-27,1283.719971,1273.829956,2623620000,1136,32.0,0.00,,Winter,2006,4,1
2006-01-30,1285.189941,1283.719971,2282730000,815,51.0,0.00,,Winter,2006,5,1
2006-01-31,1280.079956,1285.199951,2708310000,1000,40.0,0.06,Rain,Winter,2006,5,1
2006-02-01,1282.459961,1280.079956,2589410000,1355,39.0,0.00,,Winter,2006,5,2
2006-02-02,1270.839966,1282.459961,2565300000,1364,40.0,0.00,,Winter,2006,5,2
2006-02-03,1264.030029,1270.839966,2282210000,1296,52.0,0.47,Fog-Rain,Winter,2006,5,2
2006-02-06,1265.02002,1264.030029,2132360000,872,37.0,0.00,,Winter,2006,6,2
2006-02-07,1254.780029,1265.02002,2366370000,1301,38.0,0.00,,Winter,2006,6,2
2006-02-08,1265.650024,1254.780029,2456860000,1436,33.0,0.00,,Winter,2006,6,2
2006-02-09,1263.780029,1265.650024,2441920000,1335,29.0,0.00,,Winter,2006,6,2
2006-02-10,1266.98999,1263.819946,2290050000,1186,32.0,T,Snow,Winter,2006,6,2
2006-02-13,1262.859985,1266.98999,1850080000,618,27.0,0.00,,Winter,2006,7,2
2006-02-14,1275.530029,1262.859985,2437940000,919,34.0,0.00,,Winter,2006,7,2
2006-02-15,1280.0,1275.530029,2317590000,1376,37.0,0.00,,Winter,2006,7,2
