RoundedLat,RoundedLong,Count,bins
40.499,-74.244,4,2
40.499,-74.243,8,4
40.499,-74.242,6,3
40.499,-74.241,2,0
40.499,-74.24,2,0
40.5,-74.245,5,2
40.5,-74.244,11,5
40.5,-74.24,1,0
40.5,-74.239,10,5
40.5,-74.238,2,0
40.5,-74.237,2,0
40.5,-74.236,7,3
40.501,-74.249,5,2
40.501,-74.246,1,0
40.501,-74.245,2,0
40.501,-74.243,3,1
40.501,-74.242,6,3
40.501,-74.241,4,2
40.501,-74.24,4,2
40.501,-74.239,18,7
40.501,-74.238,1,0
40.501,-74.237,1,0
40.502,-74.254,1,0
40.502,-74.249,7,3
40.502,-74.248,5,2
40.502,-74.245,1,0
40.502,-74.244,1,0
40.502,-74.243,4,2
40.502,-74.242,1,0
40.502,-74.241,3,1
40.502,-74.238,18,7
40.502,-74.237,5,2
40.502,-74.235,6,3
40.502,-74.233,10,5
40.502,-74.232,6,3
40.503,-74.252,12,5
40.503,-74.251,6,3
40.503,-74.25,2,0
40.503,-74.249,2,0
40.503,-74.248,1,0
40.503,-74.247,1,0
40.503,-74.246,5,2
40.503,-74.245,8,4
40.503,-74.244,5,2
40.503,-74.243,2,0
40.503,-74.242,5,2
40.503,-74.239,2,0
40.503,-74.238,3,1
40.503,-74.237,7,3
40.503,-74.232,6,3
40.503,-74.231,3,1
40.503,-74.228,1,0
40.504,-74.253,2,0
40.504,-74.252,7,3
40.504,-74.25,2,0
40.504,-74.248,1,0
40.504,-74.247,4,2
40.504,-74.246,2,0
40.504,-74.245,3,1
40.504,-74.244,4,2
40.504,-74.243,5,2
40.504,-74.241,5,2
40.504,-74.24,8,4
40.504,-74.239,6,3
40.504,-74.238,7,3
40.504,-74.232,4,2
40.505,-74.249,1,0
40.505,-74.248,4,2
40.505,-74.247,4,2
40.505,-74.246,8,4
40.505,-74.243,4,2
40.505,-74.242,7,3
40.505,-74.241,4,2
40.505,-74.24,6,3
40.505,-74.239,2,0
40.505,-74.238,3,1
40.505,-74.229,1,0
40.506,-74.253,1,0
40.506,-74.252,4,2
40.506,-74.25,1,0
40.506,-74.248,4,2
40.506,-74.247,1,0
40.506,-74.245,9,4
