Year,Week,Close,Num Arrests,Mean.TemperatureF,Month
2006,1,1275.2974852500001,1189.75,37.5,1.0
2006,2,1289.5380126,1198.4,45.8,1.0
2006,3,1276.84753425,1181.75,41.25,1.0
2006,4,1270.5819824000002,1171.0,35.8,1.0
2006,5,1276.5199705999999,1166.0,44.4,1.6
2006,6,1263.2440184,1226.0,33.8,2.0
2006,7,1279.0020018,1109.8,37.0,2.0
2006,8,1288.2300415,1186.5,36.25,2.0
2006,9,1288.4780028,1117.4,29.0,2.6
2006,10,1277.252002,1241.2,42.6,3.0
2006,11,1299.4419922000002,1176.8,44.6,3.0
2006,12,1302.393994,1215.2,38.6,3.0
2006,13,1298.569995,1112.2,47.2,3.0
2006,14,1303.9680422,1212.8,45.4,4.0
2006,15,1290.1074827500001,1194.25,52.0,4.0
2006,16,1305.0560057999999,1112.2,57.8,4.0
2006,17,1307.117993,1177.4,52.4,4.0
2006,18,1312.9059814,1207.2,61.2,5.0
2006,19,1313.9620117999998,1206.2,58.0,5.0
2006,20,1277.147998,1115.4,59.2,5.0
2006,21,1266.0519774,1183.0,60.0,5.0
2006,22,1275.97247325,1134.25,69.75,5.5
2006,23,1259.1040283999998,1155.2,63.0,6.0
2006,24,1239.7739988,1183.0,70.0,6.0
2006,25,1244.5099854,1157.4,73.8,6.0
2006,26,1255.7659912,1015.0,73.0,6.0
2006,27,1272.6649777500002,1107.25,73.25,7.0
2006,28,1255.3699952,1154.0,74.4,7.0
2006,29,1244.1160155999999,1113.6,79.6,7.0
2006,30,1267.9880126,1126.8,76.2,7.0
2006,31,1276.9240234,1063.4,86.2,7.8
2006,32,1270.35,1185.2,76.8,8.0
2006,33,1289.8,1168.6,74.8,8.0
2006,34,1296.0959962000002,1107.4,76.4,8.0
2006,35,1305.2520018,1024.8,69.4,8.2
2006,36,1301.6125185,1211.5,69.75,9.0
2006,37,1313.3100096000003,1044.4,64.4,9.0
2006,38,1319.3620361999997,1052.8,65.8,9.0
2006,39,1334.8079836000002,1210.0,65.0,9.0
2006,40,1343.6879637999998,1222.6,62.2,10.0
2006,41,1356.495996,1186.4,60.2,10.0
2006,42,1366.8940188000001,1159.2,59.2,10.0
2006,43,1380.6079835999997,1190.2,47.6,10.0
2006,44,1371.0640137999999,1104.2,52.8,10.6
2006,45,1381.5139892,1137.6,55.0,11.0
2006,46,1395.0339844000002,1145.4,58.2,11.0
2006,47,1402.5874939999999,980.5,44.0,11.0
2006,48,1393.0999756,1075.0,53.6,11.2
2006,49,1410.7820067999996,1136.2,35.2,12.0
2006,50,1418.0780029999999,1085.0,47.4,12.0
2006,51,1420.1240234000002,986.4,44.0,12.0
2006,52,1421.69250475,1007.25,43.75,12.0
2007,1,1428.252472,1255.5,44.25,3.75
2007,2,1418.8699706,1369.6,39.4,1.0
2007,3,1429.8475035000001,1467.0,33.25,1.0
2007,4,1427.4300048,1293.8,28.2,1.0
2007,5,1436.4019774000003,1188.8,30.6,1.4
2007,6,1446.2760255999997,1287.6,20.2,2.0
2007,7,1449.0560303999998,1085.8,25.8,2.0
2007,8,1456.2200012500002,1384.0,37.0,2.0
2007,9,1409.1140136000001,1314.0,39.6,2.4
2007,10,1393.2459962,1241.4,23.8,3.0
2007,11,1390.1899902,1165.4,42.4,3.0
2007,12,1423.7380125999998,1276.6,42.4,3.0
2007,13,1425.3459958,1260.2,51.8,3.0
2007,14,1436.3625185,1136.5,44.25,4.0
2007,15,1446.504004,1246.4,42.6,4.0
2007,16,1473.4779783999998,1307.0,50.0,4.0
2007,17,1489.0160155999997,1264.0,57.4,4.0
2007,18,1494.5200196,1294.2,58.8,4.8
2007,19,1505.4199708,1310.0,59.4,5.0
2007,20,1510.795996,1302.0,60.4,5.0
2007,21,1518.947998,1200.4,65.0,5.0
2007,22,1528.8249815,1289.75,70.5,5.25
2007,23,1517.1800050000002,1233.8,67.4,6.0
2007,24,1514.7340088,1209.2,67.2,6.0
2007,25,1520.4679932,1244.6,72.8,6.0
2007,26,1501.2059816,1091.2,76.0,6.0
2007,27,1525.0350035000001,1167.75,71.0,7.0
2007,28,1532.1859864000003,1247.8,77.4,7.0
2007,29,1546.4479981999998,1081.6,76.2,7.0
2007,30,1502.4619872000003,1196.2,73.0,7.0
2007,31,1460.0500246,1264.6,80.0,7.6
2007,32,1469.7199952,1208.4,77.4,8.0
2007,33,1428.673999,1250.6,76.4,8.0
2007,34,1459.721997,1221.8,65.4,8.0
2007,35,1458.9080078000002,1162.0,74.4,8.0
2007,36,1473.4525452499997,1253.75,73.5,9.0
2007,37,1472.5899902,1300.8,70.0,9.0
2007,38,1513.9920164,1251.6,63.8,9.0
2007,39,1523.697998,1118.8,71.0,9.0
2007,40,1546.7379883999997,1328.2,67.8,10.0
2007,41,1559.2820068,1232.2,67.0,10.0
2007,42,1533.8379882,1268.0,64.0,10.0
2007,43,1518.295996,1189.8,60.8,10.0
2007,44,1527.893994,1071.6,52.2,10.4
2007,45,1485.306006,1133.6,45.6,11.0
2007,46,1460.1400146,1237.8,47.0,11.0
2007,47,1432.6099855000002,970.25,42.5,11.0
2007,48,1451.0659914000003,1126.6,45.8,11.0
2007,49,1486.4440186,1126.4,32.8,12.0
2007,50,1487.3119872000002,1057.8,38.8,12.0
2007,51,1459.691992,1024.8,36.2,12.0
2007,52,1487.21749875,846.5,40.0,12.0
2008,1,1161.5433451666665,1023.0,30.0,6.5
2008,2,1407.3699952,1404.0,48.0,1.0
2008,3,1365.7679686,1339.4,36.8,1.0
2008,4,1332.94497675,1277.75,30.75,1.0
2008,5,1369.2080323999999,1155.8,37.0,1.2
2008,6,1342.421997,1230.4,45.4,2.0
2008,7,1350.8099852,1129.4,32.4,2.0
2008,8,1351.112518,1279.0,30.75,2.0
2008,9,1366.2840333999998,1238.0,32.4,2.0
2008,10,1317.8999755999998,1451.6,43.2,3.0
2008,11,1301.2820067999999,1312.6,40.2,3.0
2008,12,1308.817505,1178.5,42.25,3.0
2008,13,1336.9959962,1292.8,43.6,3.0
2008,14,1360.0240234,1285.2,46.4,3.8
2008,15,1357.1900146,1315.4,50.0,4.0
2008,16,1356.6699952,1227.8,51.0,4.0
2008,17,1386.1399901999998,1090.4,59.8,4.0
2008,18,1399.2279784000002,1122.0,51.8,4.4
2008,19,1400.8560057999998,1256.2,61.6,5.0
2008,20,1412.8399901999996,1243.0,57.8,5.0
2008,21,1400.204004,1186.2,56.4,5.0
2008,22,1393.70748925,1314.25,64.75,5.0
2008,23,1381.0500244,1388.2,67.6,6.0
2008,24,1351.1179929999998,1179.4,78.4,6.0
2008,25,1341.9280276000002,1301.2,68.4,6.0
2008,26,1303.1580078000002,1217.2,75.8,6.0
2008,27,1272.3325195,1117.0,76.25,6.75
2008,28,1252.7159912,1108.0,78.0,7.0
2008,29,1241.9140136,1109.8,79.2,7.0
2008,30,1265.897998,1139.6,77.0,7.0
2008,31,1261.904004,1161.6,78.6,7.2
2008,32,1277.0939696,1196.2,76.8,8.0
2008,33,1294.3739745999999,1156.2,72.2,8.0
2008,34,1277.9499756,1171.6,72.4,8.0
2008,35,1280.704004,1097.6,71.6,8.0
2008,36,1257.9249877500001,1235.75,76.5,9.0
2008,37,1245.0180176000001,1169.6,69.2,9.0
2008,38,1204.8559816000002,1322.2,67.6,9.0
2008,39,1200.7260012,1147.0,63.4,9.0
2008,40,1129.4700194000002,1227.2,63.8,9.6
2008,41,969.4399902000001,1280.0,60.4,10.0
2008,42,959.2359987999998,1291.2,64.0,10.0
2008,43,924.4220091999999,1266.0,49.6,10.0
2008,44,928.4720094,1015.8,48.0,10.0
2008,45,952.1380005999999,1142.8,58.0,11.0
2008,46,891.0079956,1150.4,49.6,11.0
2008,47,813.7840086,1246.8,35.8,11.0
2008,48,873.2799990000001,1012.25,42.5,11.0
2008,49,851.4099976,1208.6,42.2,12.0
2008,50,890.1859984,1107.0,41.0,12.0
2008,51,891.8660034000001,1024.8,42.0,12.0
2008,52,868.9349975000001,694.5,31.0,12.0
2009,1,931.7999880000001,1272.0,30.0,1.0
